Ranking (1) Tamaño  2021,Ranking (1) Tamaño 2020,Variación Ranking Tamaño 2020 - 2021,Nombre Grupo Económico,"Reporta sus BENEFICIARIOS EFECTIVOS 
(*)",No. de Integrantes domiciliados en PARAÍSOS FISCALES (**),No. de Integrantes y Empresas Offshore relacionadas con el Grupo Económico publicados en PANAMÁ PAPERS (***),"Personas 
Naturales (a)    ","Personas 
Extranjeras (b)    ","Sociedades 
Nacionales (c)","Sociedades 
Extranjeras (d)","Contribuyentes
 Especiales","Grandes 
Contribuyentes e 
Importancia 
Recaudatoria","Instituciones 
Financieras (2)","Medios de 
Comunicación (3)",Total Integrantes e=a+b+c+d,Ranking Contribución I.R. 2020,Ranking Contribución I.R. 2019,"Variación Ranking Contribución I.R. 
2019-2020",Impuesto a la Renta Causado (4) 2020,Total Ingresos 2020,Contribución   I.R. 2020,Impuesto a la Renta Causado (4) 2019,Total Ingresos 2019,Contribución   I.R. 2019,Variación Ingresos,Variación Impuesto a la Renta Causado,Variación Contribución  I.R. (2020-2019),Impuesto Causado ISD 2020,Impuesto Causado ISD 2019,Impuesto Causado IAE 2020 (5),Impuesto Causado IAE 2019 (5),"Total Activo 
(6) 2020","Total Activo 
(6) 2019",Total Patrimonio (7) 2020,"Total Patrimonio 
(7) 2019","
Total Recaudado (8) 2020","
Total Recaudado (8) 2019"
1,1,0,"BANCO PICHINCHA (DINERS CLUB DEL ECUADOR, BANCO GENERAL RUMIÑAHUI, BANCO DE LOJA, AIG-METROPOLITANA, SEGUROS DEL PICHINCHA, ECUAGESA, INTERDIN)",PARCIALMENTE,2,0,3,1,120,13,16,7,6,,124,122,41,-81,"35,593,975","2,511,193,769",1.42%,"122,703,034","2,732,255,269",4.49%,-8.09%,-70.99%,-3.07%,"7,653,369","221,893","3,509,949","3,577,970","18,949,015,666","17,928,760,492","3,688,293,052","3,699,748,891","588,975,950","667,872,172"
2,2,0,"ALMACENES JUAN ELJURI (BANCO DEL AUSTRO, AEKIA, NEOHYUNDAI, AYMESA, ASIAUTO, AVIANCA - ECUADOR)",PARCIALMENTE,45,42,17,19,328,129,71,18,2,4,364,165,177,12,"17,717,872","1,897,273,156",0.93%,"37,487,359","2,741,138,292",1.37%,-30.79%,-52.74%,-0.43%,"49,561,656","4,339,679","796,827","945,874","6,417,335,168","6,436,090,837","1,878,733,441","1,955,377,497","127,087,663","190,328,750"
3,3,0,"CORPORACIÓN FAVORITA (COMERCIAL KIWY, SUKASA, FLEXIPLAST, TVENTAS, POFASA, INVEDE, BEBEMUNDO, ECUASTOCK, ENERMAX, AGROPESA, MAXIPAN)",PARCIALMENTE,4,5,20,3,111,28,18,6,,,134,66,85,19,"73,310,764","2,948,194,453",2.49%,"77,171,636","2,919,888,565",2.64%,0.97%,-5.00%,-0.16%,"21,725,468","1,617,778",0,0,"3,448,646,302","3,343,835,273","2,427,005,282","2,314,556,018","144,524,011","139,310,219"
4,5,1,"BANCO DE GUAYAQUIL (CORPORACION MULTIBG, FIDEICOMISO MERCANTIL DE ADMINISTRACION GLM, PROMOQUIL, FIDEICOMISO MERCANTIL DE ADMINISTRACION MELM)",SI,2,0,9,0,57,2,1,1,1,1,66,102,34,-68,"11,527,263","681,503,379",1.69%,"31,755,533","601,613,380",5.28%,13.28%,-63.70%,-3.59%,"1,399,735","86,918","4,785,739","5,678,838","6,014,463,154","5,334,073,117","784,042,300","791,999,072","206,200,661","234,359,513"
5,4,-1,"SCHLUMBERGER DEL ECUADOR (CONSORCIO SHUSHUFINDI, SHAYA ECUADOR, PARDALISERVICES, SCHLUMBERGER SURENCO)",NO,8,0,0,0,17,28,11,6,,,17,16,25,9,"78,921,073","1,491,556,419",5.29%,"108,160,570","1,834,274,610",5.90%,-18.68%,-27.03%,-0.61%,"21,537,744","237,591",0,0,"3,286,786,210","3,616,608,480","2,426,480,097","2,305,837,270","202,204,211","152,342,627"
6,6,0,"PRODUBANCO (SERVIPAGOS, PROTRAMITES TRAMITES PROFESIONALES)",PARCIALMENTE,7,0,0,2,26,18,6,2,1,,28,78,45,-33,"12,240,383","559,772,330",2.19%,"26,315,595","608,828,794",4.32%,-8.06%,-53.49%,-2.14%,"1,734,379","504,808","1,109,933","1,369,521","5,677,059,245","5,337,382,757","554,198,528","571,132,620","233,528,010","299,941,053"
7,7,0,"OCP ECUADOR (ANDES PETROLEUM, CONSORCIO B-16, OPIC, SINOPEC SERVICE, PETROORIENTA, AMODAIMI OIL COMPANY, REPSOL)",PARCIALMENTE,12,33,0,10,25,44,15,12,,,35,179,98,-81,"7,873,669","984,617,690",0.80%,"37,060,764","1,573,130,155",2.36%,-37.41%,-78.75%,-1.56%,"8,356,527","2,621,454",0,0,"2,878,285,000","3,158,582,003","1,282,070,968","1,455,499,361","66,287,611","78,336,419"
8,9,1,"BANCO BOLIVARIANO C.A. (SASETAF, DESINVEST)",SI,1,0,3,3,6,3,2,1,1,,12,58,36,-22,"8,947,360","330,156,425",2.71%,"16,995,541","341,899,676",4.97%,-3.43%,-47.35%,-2.26%,"1,007,281","17,094","9,817,255","7,702,248","4,241,322,569","3,828,371,165","597,877,876","571,285,783","193,190,178","209,149,340"
9,8,-1,"CORPORACIÓN EL ROSADO (MI COMISARIATO, INMOBILIARIA MOTKE, INMOBILIARIA LAVIE, ADMINISTRADORA DEL PACIFICO ADEPASA, SUPERCINES, INMERISA, COMDERE)",SI,15,0,3,4,38,26,10,7,,3,45,167,190,23,"14,461,085","1,637,381,668",0.88%,"20,769,883","1,656,517,552",1.25%,-1.16%,-30.37%,-0.37%,"10,184,817","1,718,472","2,826","7,789","1,942,145,014","1,837,638,581","456,932,203","476,612,277","73,489,379","73,480,134"
10,11,1,"BANCO INTERNACIONAL (FIDEICOMISO BANCO INTERNACIONAL S.A. 002 - BCE, FIDEICOMISO BANCO INTERNACIONAL GARANTIA AUTOMOTRIZ)",SI,10,4,0,1,11,12,1,1,1,,12,35,28,-7,"9,997,922","313,682,390",3.19%,"17,703,034","314,088,595",5.64%,-0.13%,-43.52%,-2.45%,"958,858",56,"980,730","781,507","3,977,630,892","3,805,740,314","392,015,175","391,514,061","170,429,336","182,165,876"
